beta_type,dist,n,p,rho,target_censoring,lambda_choice,mean_lambda,median_lambda,sd_lambda
realistic,weibull,100.000,20,0.3,0,min,0.0112630312207572,0.0112679991016622,4.69722767720626e-5
realistic,weibull,100.000,50,0.3,0,min,0.0112630278957103,0.0112650212506588,4.67669702956699e-5
realistic,weibull,100.000,50,0.3,0,min,0.0112630278957103,0.0112650212506588,4.67669702956699e-5
realistic,weibull,100.000,10,0.3,0.1,min,0.010464454287547,0.0104658366517209,4.2826373695301e-5
realistic,weibull,100.000,10,0.3,0.1,min,0.010464454287547,0.0104658366517209,4.2826373695301e-5
realistic,weibull,100.000,20,0.3,0.1,min,0.0104682809601842,0.0104645053304106,4.31590527662972e-5
realistic,weibull,100.000,20,0.3,0.1,min,0.0104682809601842,0.0104645053304106,4.31590527662972e-5
realistic,weibull,100.000,50,0.3,0.1,min,0.0104566755989414,0.0104512164468655,4.47474202881445e-5
realistic,weibull,100.000,50,0.3,0.1,min,0.0104566755989414,0.0104512164468655,4.47474202881445e-5
realistic,weibull,100.000,10,0.3,0.3,min,0.00869447923359664,0.00870632840043606,8.7244798148287e-5
realistic,weibull,100.000,10,0.3,0.3,min,0.00869447923359664,0.00870632840043606,8.7244798148287e-5
realistic,weibull,100.000,20,0.3,0.3,min,0.00870077924561938,0.00869902410840135,4.23901497857159e-5
realistic,weibull,100.000,20,0.3,0.3,min,0.00870077924561938,0.00869902410840135,4.23901497857159e-5
realistic,weibull,100.000,50,0.3,0.3,min,0.00869931338683342,0.00870394357481797,8.48575067894994e-5
realistic,weibull,100.000,50,0.3,0.3,min,0.00869931338683342,0.00870394357481797,8.48575067894994e-5
sparse,exponential,100.000,10,0,0,min,0.0131346003512271,0.0134922486574664,5.4792135734983e-4
